#{"t_start": 1757679027.0682552, "env_id": "None"}
r,l,t
-271.161487,257,410.516857
-105.356362,57,410.846676
-94.593417,56,411.192299
14.88836,135,411.980971
-94.884847,47,412.275412
-106.249477,65,412.7003
-119.007289,136,413.57016
-177.370879,101,414.182929
-82.096789,87,414.726102
62.923806,81,415.245933
-186.690419,218,416.652378
-25.090847,152,417.617203
-123.267603,74,418.097551
-132.925223,135,418.949954
-271.561894,231,420.433217
-42.076029,119,421.221837
-558.297706,377,423.653192
-330.856765,270,448.335851
-140.955688,44,448.64207
-266.28775,154,449.638471
-148.930167,68,450.067512
-124.801496,48,450.368242
-131.346525,49,450.715738
-163.85437,192,451.926573
-314.903353,423,454.621395
-537.70694,262,456.331103
-82.32512,119,457.088669
-100.543895,113,457.79792
-103.846938,127,458.666625
-131.059149,162,459.740022
-521.351994,360,462.010473
-140.466379,83,462.546516
-144.567639,60,462.914244
5.936686,94,463.497561
-157.551655,82,464.002092
-126.225678,49,464.301588
-157.891695,59,464.685721
-223.037084,129,465.48847
-524.44458,216,466.926391
-297.115255,97,467.525391
-324.645456,170,468.645383
-205.542347,72,469.1063
-417.101647,266,470.841965
-573.870119,247,472.519988
-51.303601,238,474.076912
-375.423956,206,475.418845
43.510544,244,477.031957
-360.040545,292,478.808343
-150.27484,57,479.155838
-133.674236,76,479.657859
-112.864684,142,484.806421
-146.053657,52,485.188329
-157.430077,27,485.381791
-129.974978,140,486.330319
66.977168,106,487.055033
-756.689834,368,489.491006
-170.581496,77,489.981873
-158.641224,78,490.47267
-119.414799,41,490.74135
-190.094578,69,491.191213
-168.055326,81,491.713952
-152.21673,78,492.235517
-124.795644,54,492.57454
-203.170877,175,493.752995
-193.107145,152,494.782605
-124.020415,47,495.084971
-161.706898,113,495.810726
69.977792,66,496.286981
-125.375314,70,496.767117
-80.736252,289,498.667699
58.11791,63,499.095304
-107.661784,97,499.713249
119.070467,285,501.533924
-118.927289,93,502.118127
-127.386446,62,502.512824
-21.737418,130,503.349787
-157.544999,79,503.880446
-152.12265,56,504.25903
-218.696368,146,505.219904
-58.825252,272,506.98172
39.065267,65,507.433915
-67.813671,145,508.384412
-160.362004,55,508.732221
-169.754957,58,509.127895
-168.559971,57,509.490744
-157.719909,79,510.028944
-137.986587,53,510.393848
-155.595418,54,510.77369
-174.529838,61,511.171611
-105.225773,110,511.887701
-51.871305,218,513.265279
-143.658536,45,513.549861
-129.17688,102,514.173196
-141.822257,74,514.663804
-173.736449,54,515.011526
-179.496532,46,515.311667
-174.709869,47,515.611446
-165.492084,49,515.912119
-151.6391,31,516.10282
-158.722622,38,516.344592
-96.30897,60,516.735723
-161.897343,44,517.020277
-16.147215,89,524.305594
-114.485472,46,524.640836
-175.576521,28,524.848285
-49.558138,194,526.095913
-208.110857,141,526.997379
-159.28419,29,527.187843
-755.688323,383,529.642368
-109.343392,50,529.990632
-167.374536,84,530.528703
-100.143834,47,530.863924
-114.799184,42,531.139641
-101.981579,80,531.642772
-138.912497,77,532.158004
-113.97162,52,532.480609
-125.237932,92,533.07085
17.803146,105,533.72166
-287.490097,201,534.906905
-144.757457,64,535.292558
66.393872,90,535.838654
-141.806565,55,536.188093
-133.883352,71,536.613204
-175.314579,56,536.938524
-142.369414,86,537.463045
-284.266988,368,539.705747
140.794483,107,540.360778
-153.496944,57,540.723026
50.437134,134,541.58311
-140.433411,85,542.150147
-165.599216,194,543.435213
-127.164814,71,543.889162
-104.272247,54,544.20606
-104.536617,50,544.521079
-115.459772,84,545.030273
-399.300477,230,546.429064
-86.549533,57,546.801332
23.828616,126,547.546321
-104.698496,65,547.950065
50.004525,93,548.525839
-94.000936,42,548.789028
-129.070711,70,549.21477
-87.909841,84,549.758133
-550.384729,331,551.789152
-102.272756,55,552.143112
145.51157,149,553.067605
-125.817524,44,553.338292
-105.920568,43,553.623846
-137.430806,94,554.202741
-165.701895,240,567.111023
-143.743164,55,567.455284
-588.751926,497,570.464653
-154.859224,116,571.148233
-33.201135,52,571.452918
69.895789,110,572.088397
-119.302385,165,573.061931
16.288688,280,574.726271
21.6084,152,575.704507
67.494621,88,576.263379
-148.858542,78,576.729934
230.657092,247,578.226649
29.791991,130,579.04589
80.4284,137,579.822897
-66.148499,40,580.071785
-62.134006,38,580.303114
-70.308127,35,580.509875
-87.144955,78,580.969796
-87.614555,126,581.683079
-109.831229,51,581.960266
-80.253475,177,582.95254
-94.210068,51,583.251593
-165.772008,313,585.140205
-42.453945,331,587.185828
-27.546626,176,588.255931
-116.171472,76,588.728197
-113.350834,45,588.994517
-127.40979,54,589.311539
-78.662654,58,589.657328
-18.873271,468,592.372502
-81.287696,89,592.891255
55.621777,69,593.297235
-404.181765,370,595.532505
183.976356,248,606.865628
-177.335688,45,607.150652
-167.676339,265,608.871148
-134.035896,33,609.071344
-98.76213,44,609.350738
-85.2758,44,609.63819
-97.344288,53,609.956115
-100.162791,54,610.272311
-79.080505,46,610.555444
-128.566366,53,610.873403
-100.649406,43,611.130193
-139.161343,81,611.625936
-96.061626,58,611.963892
-94.251575,60,612.315839
-95.625049,63,612.682487
-76.006222,68,613.080376
-114.531869,58,613.442406
-103.988998,66,613.821175
-98.963855,63,614.187562
-119.127691,89,614.735577
-106.57147,59,615.114625
-86.239313,204,616.345558
-105.932195,70,616.798942
-15.897116,124,617.601463
-96.620794,48,617.915561
-411.891483,320,619.91738
121.067293,145,620.805238
-88.719841,65,621.185262
-98.355218,41,621.422818
-97.540882,226,622.733715
-346.544708,275,624.344087
-135.050073,64,624.731255
-79.548016,135,625.562066
-74.309064,333,627.602417
-10.226482,91,628.162028
-97.021503,48,628.446678
-58.797631,59,628.809869
-178.840444,306,630.673694
-99.615864,58,631.00639
-115.346943,54,631.337677
-92.242702,48,631.617573
-141.082619,96,632.171017
-0.59644,169,633.154324
-99.908378,55,633.470431
-84.385499,86,633.974688
-119.839053,73,634.399712
-97.931141,45,634.659581
-40.917003,69,635.070555
-157.009707,228,636.435625
-116.761624,97,637.027755
-26.934807,23,640.903352
-135.567764,73,641.367175
-180.155991,22,641.509486
-240.402739,81,642.001474
-167.138081,140,642.812763
58.867741,74,643.254399
-41.558696,80,643.759246
78.687536,108,644.391321
-180.057059,230,645.781266
-158.260648,144,646.651309
-186.463493,153,647.599879
-106.096652,230,648.988654
-79.191329,55,649.338956
84.244868,197,650.507985
-40.85372,225,651.850275
28.449084,149,652.729404
139.352549,143,653.590467
-103.578536,93,654.17116
-93.729153,246,655.693672
95.68127,124,656.494847
-51.764465,64,656.916112
-58.576679,50,657.229929
215.302223,359,659.522012
-412.693498,378,662.088647
-117.071949,10,662.155074
-157.409455,64,662.594443
147.949009,131,663.458059
-159.979784,83,664.01984
-0.042862,199,665.359842
-2384.624542,764,670.385296
-120.382771,122,671.169772
-149.570236,49,671.499319
-150.491449,43,671.791743
-82.338081,109,672.514183
-71.020727,8,674.477414
-158.123767,50,674.853464
-182.436919,29,675.046377
-297.545726,301,677.024054
-153.996807,104,677.701759
-26.121277,285,679.585811
90.467918,98,680.235011
96.174472,181,681.444946
-225.686719,401,684.049654
-18.87523,277,685.80784
-175.052528,61,686.185913
135.067162,135,687.011268
157.167377,168,688.126037
101.281798,142,689.099192
-167.638728,130,689.939278
-630.095316,401,692.578491
-194.780238,86,693.136971
-111.053081,47,693.462293
-653.231631,315,695.492403
-130.831104,37,695.748729
-98.102548,40,696.019205
-132.153903,196,697.286089
-162.415358,86,697.861949
-132.591797,35,698.098609
-126.218315,44,698.394776
-906.613949,399,700.971998
-149.240016,67,701.434074
-183.493314,44,701.715876
-136.75514,39,701.994917
-107.015279,40,702.265142
-105.873426,38,702.527387
-81.612795,184,703.72417
-133.806501,90,704.334541
-137.223144,38,704.60237
-143.51012,58,704.978211
-124.155386,38,705.234544
-148.449365,42,705.49955
-131.330995,60,705.903013
-132.286917,56,706.262676
-121.791028,43,706.553498
-105.575085,39,706.806659
-118.099039,51,707.148972
-61.731341,25,717.554219
-163.265601,67,718.00585
64.879315,149,718.9536
-87.673749,50,719.280655
-1094.956527,444,722.152714
-105.538106,74,722.620109
-298.908827,250,724.24376
-109.673037,56,724.608751
-138.016213,48,724.915733
-27.955591,126,725.758308
-95.304514,52,726.094253
-116.372307,67,726.530763
-127.286852,74,727.003689
-105.787421,47,727.328483
-119.55709,54,727.660177
-142.480406,71,728.072748
-20.163266,164,729.108938
-72.646631,137,730.010386
87.277886,125,730.803961
-110.603458,69,731.241132
-54.84216,145,732.170115
-301.037443,255,733.841217
-128.481243,75,734.342485
-149.961084,286,736.259872
-13.843889,335,738.398228
-137.105451,117,739.172758
-86.1349,119,739.914907
29.764279,135,740.823464
-259.781263,245,742.438332
-97.820089,135,743.320817
-102.461317,67,743.775451
-104.278692,83,744.335101
-93.06483,96,744.973726
-121.601605,45,745.280125
-99.139384,77,745.801448
