#{"t_start": 1758004239.7373414, "env_id": "None"}
r,l,t
1614.210315,266,1255.72841
2261.593003,356,1258.68092
370.485267,104,1259.544379
376.002706,88,1260.275972
3321.470609,539,1264.858924
557.808697,137,1266.041335
3824.628683,687,1271.706372
455.055941,174,1273.148423
904.46102,201,1274.874603
3749.230063,705,1280.866777
2302.216275,374,1283.971492
3366.377178,549,1288.618443
2710.683025,453,1292.403204
-59.758819,159,1293.581084
795.63882,158,1294.868416
911.672621,172,1296.240045
3812.518445,590,1300.951355
4649.327731,803,1307.317658
3835.78339,687,1312.836733
71.344747,54,1313.251351
1777.15435,282,1322.956567
-83.362154,15,1323.067704
3252.297061,520,1327.506355
2626.34085,456,1331.34522
476.213703,114,1332.318933
900.389993,196,1334.032992
264.915677,85,1334.786655
5304.543716,910,1342.614054
2718.767163,392,1345.74725
1010.730242,222,1347.646885
3806.918925,711,1353.700015
3974.077278,535,1358.357061
303.316826,94,1359.173775
486.219373,129,1360.278296
3157.953625,560,1365.162842
988.132411,194,1366.874251
1126.207461,234,1368.933133
3852.270011,664,1374.688818
2367.588487,373,1377.867496
577.460181,136,1379.041255
2715.478432,400,1382.49156
1972.944208,332,1385.185091
199.706253,74,1385.833683
2360.001748,319,1388.305496
1615.50926,234,1390.074054
2803.157552,476,1393.786077
4511.763758,801,1399.941133
2996.687657,480,1403.655403
2198.041781,344,1412.197836
-130.905763,27,1412.397116
177.864111,83,1413.043689
3649.78561,636,1418.404763
143.701178,66,1418.970842
718.551682,162,1420.275146
803.978976,163,1421.721138
563.294316,156,1423.063308
3996.516025,646,1428.697613
3083.902083,566,1433.666831
3902.838842,645,1439.093274
3802.483682,662,1444.848439
675.876405,143,1446.107345
4230.25119,658,1451.646657
2910.231562,423,1455.290982
-22.359808,109,1456.209899
201.937903,116,1457.193388
2679.763646,470,1461.227191
4158.025542,685,1466.983976
174.929245,94,1467.765193
3959.501204,613,1472.361096
2184.674016,368,1475.180457
3831.57312,589,1479.392777
51.777288,60,1479.827775
204.842033,72,1480.349666
734.617796,176,1481.729354
895.134254,184,1483.228303
1294.77652,252,1485.191532
350.311912,105,1486.035496
2887.081841,556,1490.318038
3248.282231,515,1501.975382
-111.308854,6,1502.0249
26.946719,37,1502.292106
189.237574,118,1503.364902
2224.304298,489,1507.965238
155.57467,69,1508.574862
4223.122377,758,1515.411988
2614.565054,352,1518.479848
711.058956,156,1519.854865
567.507195,137,1521.043986
1081.867527,212,1522.926635
2450.566911,374,1526.201384
3014.916388,495,1530.458877
3120.13217,592,1535.635115
3776.282859,656,1541.230834
3525.524246,562,1546.117719
4467.510412,691,1552.006443
1976.390042,323,1554.530749
3326.079838,727,1560.138134
199.721724,71,1560.718686
701.288536,202,1562.350681
2290.031486,351,1565.171985
712.385574,135,1566.192191
1728.760344,295,1568.443594
4096.646112,685,1573.931167
89.071684,54,1574.349269
4493.688894,674,1579.954727
190.52795,71,1580.567148
73.007004,50,1580.990823
560.314402,120,1582.029955
428.513874,133,1583.223478
2361.688539,400,1586.620753
-59.062541,5,1589.543678
-110.0,5,1589.587471
3812.715916,721,1595.641395
2348.709663,375,1598.587258
40.79921,53,1598.995195
4987.118232,832,1605.973309
4314.455559,634,1611.063093
297.899227,112,1612.0201
2931.56179,479,1615.741602
3553.215874,489,1619.608203
4487.870653,636,1624.821124
3518.854257,521,1629.186199
480.536816,111,1630.100309
831.680091,182,1631.616117
2712.546396,376,1634.775427
2999.192403,439,1638.458435
970.321066,189,1639.856787
2807.524551,423,1642.989775
