#{"t_start": 1768398537.5001783, "env_id": "None"}
r,l,t
2292.339796,366,4697.919615
2376.534979,357,4702.578159
2433.292573,369,4707.577399
2535.212775,324,4712.022124
2526.037938,358,4716.803571
2558.664726,364,4721.454094
2425.035267,366,4726.462819
2778.000851,405,4731.587725
2586.157204,354,4736.183691
2264.767945,389,4741.300641
2532.764609,339,4745.751551
2335.484768,351,4750.127689
2300.228748,347,4754.826183
2429.162768,351,4759.253733
593.059985,118,4760.704578
2475.403998,379,4765.282215
2483.982668,386,4769.35853
2505.018413,330,4772.814235
939.275102,165,4779.422456
-7.701941,76,4780.296197
2681.588314,405,4784.513499
2781.900867,425,4788.981072
2399.932505,371,4792.900785
2445.194369,331,4797.037925
2262.855011,491,4803.262012
2608.817399,392,4808.503292
2436.507973,351,4812.889629
2230.826158,330,4817.259044
1993.409111,429,4822.768894
2687.990074,373,4827.532703
2504.057199,342,4831.77836
2456.27104,394,4837.151255
2606.3786,346,4841.518355
2366.273111,360,4846.294998
2290.297001,363,4851.114558
1720.770628,378,4855.806062
2417.813251,361,4860.123619
2775.695451,383,4864.775294
